INDEX - DISTANCE - PATTERN - METER
199. - 0.219289548365 - [1,0,0,0,0,0,1,1,1,1] - [5,8] 
200. - 0.219345408464 - [1,0,0,0,1,0,1,0,1,0,1,0] - [3,4] 
201. - 0.219345408464 - [1,0,1,0,1,0,1,0,0,0,1,0] - [3,4] 
202. - 0.219345408464 - [1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0] - [6,4] 
203. - 0.219345408464 - [1,0,0,0,1,0,1,0,1,0,1,0] - [6,8] 
204. - 0.219345408464 - [1,0,1,0,1,0,1,0,0,0,1,0] - [6,8] 
205. - 0.221452855975 - [0,0,0,0,1,0,1,0,1,0,1,0,1,0] - [7,8] 
206. - 0.226189955540 - [1,1,0,0,1,0,0,1,1,0] - [5,8] 
207. - 0.228407015991 - [1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0] - [6,4] 
208. - 0.256833796469 - [1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0] - [5,4] 
209. - 0.256833796469 - [1,0,1,0,1,0,1,0,1,0] - [5,8] 
