Index,Distance,Pattern,Meter,Method
143,0.197,"[1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0]","[7,4]",metricSync
144,0.197,"[1,0,0,0,1,1,0,0,1,0,0,0,1,0]","[7,8]",metricSync
145,0.197,"[1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0]","[5,4]",metricSync
146,0.197,"[1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0]","[9,8]",metricSync
147,0.198,"[0,0,0,1,0,0,1,0,1,0,1,0,1,0]","[7,8]",metricSync
148,0.198,"[0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0]","[9,8]",metricSync
149,0.198,"[1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0]","[9,8]",metricSync
150,0.198,"[1,0,0,0,1,0,1,1,1,0,0,0,0,0]","[7,8]",metricSync
151,0.198,"[1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0]","[5,4]",metricSync
152,0.199,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0]","[7,4]",metricSync
153,0.199,"[1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0]","[9,8]",metricSync
154,0.199,"[1,0,0,0,1,0,0,0,1,0,0,1,1,0]","[7,8]",metricSync
155,0.199,"[1,0,1,0,1,0,1,1,0,0]","[5,8]",metricSync
156,0.199,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]","[7,4]",metricSync
157,0.199,"[1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0]","[5,4]",metricSync
158,0.199,"[1,0,0,1,1,0,1,0,1,0]","[5,8]",metricSync
159,0.199,"[1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0]","[5,4]",metricSync
160,0.199,"[1,0,1,0,0,0,1,1,1,0]","[5,8]",metricSync
161,0.199,"[1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0]","[5,4]",metricSync
162,0.2,"[0,1,0,1,1,0,0,1,1,0]","[5,8]",metricSync
163,0.2,"[1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0]","[9,8]",metricSync
164,0.201,"[1,1,1,0,1,0,1,0,0,0]","[5,8]",metricSync
165,0.202,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0]","[5,4]",metricSync
166,0.202,"[1,0,1,0,1,0,1,0,0,1]","[5,8]",metricSync
167,0.202,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0]","[9,4]",metricSync
168,0.202,"[1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0]","[9,4]",metricSync
